Time (s);X (m);Y (m)
7.79;129.83333333333334;-0.04218789734138669
7.795;129.91666666666669;-0.04362315535216537
7.8;130.0;-0.04351738230102654
7.805000000000001;130.08333333333334;-0.042512461866607024
7.8100000000000005;130.16666666666669;-0.04180143041281217
7.815;130.25000000000003;-0.04392405163311065
7.82;130.33333333333334;-0.04588410933668046
7.825;130.41666666666669;-0.04483425736578061
7.83;130.5;-0.04258907030584964
7.835;130.58333333333334;-0.036403094181708846
7.84;130.66666666666669;-0.026297807077680133
7.845;130.75;-0.022286719905279116
7.8500000000000005;130.83333333333334;-0.024915601007599417
7.855;130.91666666666669;-0.026419294306743845
7.86;131.00000000000003;-0.030037053092902426
7.865;131.08333333333334;-0.03540302594198822
7.87;131.16666666666669;-0.03212493491815442
7.875;131.25;-0.02467730247472198
7.88;131.33333333333334;-0.024760263552898523
7.885;131.41666666666669;-0.02905417221816152
7.890000000000001;131.50000000000003;-0.030679719002028382
7.8950000000000005;131.58333333333334;-0.027716500282162514
7.9;131.66666666666669;-0.021921958959550746
7.905;131.75;-0.021581125123165776
7.91;131.83333333333334;-0.024949832061947903
7.915;131.91666666666669;-0.020704001321775686
7.92;132.0;-0.016950858815161347
7.925;132.08333333333334;-0.023162118399456588
7.930000000000001;132.16666666666669;-0.02375608854804032
7.9350000000000005;132.25000000000003;-0.013377836308690667
7.94;132.33333333333334;-0.006976394210988053
7.945;132.41666666666669;-0.005730198876273626
7.95;132.5;-0.006982901970509405
7.955;132.58333333333334;-0.015314467628305527
7.96;132.66666666666669;-0.021700953376178396
7.965;132.75;-0.020597835689505243
7.97;132.83333333333334;-0.023095361653158977
7.9750000000000005;132.91666666666669;-0.025972473324061825
7.98;133.00000000000003;-0.01997231220930606
7.985;133.08333333333334;-0.013404099377988612
7.99;133.16666666666669;-0.008487539759321181
7.995;133.25;-0.001876913406560327
8.0;133.33333333333334;-0.004474094121536171
8.005;133.41666666666669;-0.015353941087976875
8.01;133.5;-0.019627181006192748
8.015;133.58333333333334;-0.02081962010939798
8.02;133.66666666666666;-0.023859102659312983
8.025;133.75000000000003;-0.021359663052483123
8.03;133.83333333333334;-0.020137744623108106
8.035;133.91666666666669;-0.026574555455521138
8.040000000000001;134.00000000000003;-0.02748483769861161
8.045;134.08333333333334;-0.023358600128745605
8.05;134.16666666666669;-0.026262909192201218
8.055;134.25;-0.02691013842169424
8.06;134.33333333333334;-0.0193183148574729
8.065;134.41666666666666;-0.01792825413689939
8.07;134.50000000000003;-0.021184328726320444
8.075;134.58333333333334;-0.01507319280071872
8.08;134.66666666666669;-0.007296216080210238
8.085;134.75000000000003;-0.009786895549257178
8.09;134.83333333333334;-0.01662219735420626
8.095;134.91666666666669;-0.02262620058324271
8.1;135.0;-0.028704832636492
8.105;135.08333333333334;-0.031218396840361963
8.11;135.16666666666666;-0.03164156492929195
8.115;135.25;-0.03694846039753577
8.120000000000001;135.33333333333337;-0.04267324292707179
8.125;135.41666666666669;-0.04194019270010184
8.13;135.50000000000003;-0.04116376202398545
8.135;135.58333333333334;-0.04446856474384126
8.14;135.66666666666669;-0.04525850205199639
8.145;135.75;-0.043760635308776205
8.15;135.83333333333334;-0.04631987789679529
8.155;135.91666666666666;-0.05007627819602124
8.16;136.0;-0.04858911055217942
8.165000000000001;136.08333333333337;-0.042733982473837376
8.17;136.16666666666669;-0.03859454487606662
8.175;136.25000000000003;-0.040262498419927364
8.18;136.33333333333334;-0.04227175672486672
8.185;136.41666666666669;-0.037467271199007876
8.19;136.5;-0.03320042006296529
8.195;136.58333333333334;-0.037057670432811336
8.2;136.66666666666666;-0.039107601761300397
8.205;136.75;-0.034103390961962333
8.21;136.83333333333337;-0.032655943080394094
8.215;136.91666666666669;-0.03593116844484028
8.22;137.00000000000003;-0.03423079814142273
8.225;137.08333333333334;-0.028351450941858408
8.23;137.16666666666669;-0.026340328615643217
8.235;137.25;-0.029864106306806748
8.24;137.33333333333334;-0.03319436258392771
8.245000000000001;137.41666666666669;-0.03129238336844953
8.25;137.5;-0.028911876978213458
8.255;137.58333333333334;-0.03192386562113433
8.26;137.66666666666669;-0.03532019945071735
8.265;137.75000000000003;-0.035632700443898956
8.27;137.83333333333334;-0.03596058992253738
8.275;137.91666666666669;-0.035179938519189886
8.28;138.0;-0.03552407165438252
8.285;138.08333333333334;-0.040425336509709274
8.290000000000001;138.16666666666669;-0.03912773068558112
8.295;138.25;-0.02918983196384295
8.3;138.33333333333334;-0.02665938618701021
8.305;138.41666666666669;-0.029210349753932555
8.31;138.50000000000003;-0.023939687861241198
8.315;138.58333333333334;-0.020897999273110816
8.32;138.66666666666669;-0.02471271875395544
8.325;138.75;-0.021562814049457545
8.33;138.83333333333334;-0.016882000799454778
8.335;138.91666666666669;-0.023266521414949223
8.34;139.0;-0.030575101679286558
8.345;139.08333333333334;-0.031174349165346817
8.35;139.16666666666666;-0.030819539805462565
8.355;139.25000000000003;-0.0294611456987256
8.36;139.33333333333334;-0.027594545796631217
8.365;139.41666666666669;-0.02886205821312526
8.370000000000001;139.50000000000003;-0.02969018129882582
8.375;139.58333333333334;-0.02773930157989828
8.38;139.66666666666669;-0.022339077737207755
8.385;139.75;-0.01055336067833287
8.39;139.83333333333334;-0.0007977033569335282
8.395;139.91666666666666;-0.001778605635259287
8.4;140.00000000000003;-0.004065098122165592
8.405;140.08333333333334;-0.002555951495655651
8.41;140.16666666666669;-0.004729532296641452
8.415000000000001;140.25000000000003;-0.008127855691259279
8.42;140.33333333333334;-0.00544338545706971
8.425;140.41666666666669;0.003252893021665897
8.43;140.5;0.013505268125327773
8.435;140.58333333333334;0.013238226257612291
8.44;140.66666666666666;-0.0004570671765416175
8.445;140.75000000000003;-0.008302415506322252
8.45;140.83333333333334;-0.006945443834543245
8.455;140.91666666666669;-0.01425576839839493
8.46;141.00000000000003;-0.023904316240126733
8.465;141.08333333333334;-0.022024339096004358
8.47;141.16666666666669;-0.02042306218860463
8.475;141.25;-0.022657227642026347
8.48;141.33333333333334;-0.01959137083169242
8.485;141.41666666666666;-0.021669919026205672
8.49;141.5;-0.031296923153299586
8.495000000000001;141.58333333333337;-0.029923216824162303
8.5;141.66666666666669;-0.022680835896949764
8.505;141.75000000000003;-0.024833870455400846
8.51;141.83333333333334;-0.02364822577181834
8.515;141.91666666666669;-0.013467355548440314
8.52;142.0;-0.012246174769178962
8.525;142.08333333333334;-0.0193135707018122
8.53;142.16666666666666;-0.02006829904320768
8.535;142.25;-0.01848260528849651
8.540000000000001;142.33333333333337;-0.02059276550145995
8.545;142.41666666666669;-0.021607532857951188
8.55;142.50000000000003;-0.024179987433458283
8.555;142.58333333333334;-0.031894522120157455
8.56;142.66666666666669;-0.03501824346033465
8.565;142.75;-0.029771828244234726
8.57;142.83333333333334;-0.027276895804071336
8.575000000000001;142.91666666666669;-0.030421973733208228
8.58;143.0;-0.031237169655395712
8.585;143.08333333333337;-0.030986166661312337
8.59;143.16666666666669;-0.034624124376952954
8.595;143.25000000000003;-0.03658454226447692
8.6;143.33333333333334;-0.0323681171134087
8.605;143.41666666666669;-0.025476534923764383
8.61;143.5;-0.017869930226764568
8.615;143.58333333333334;-0.01266349738769865
8.620000000000001;143.66666666666669;-0.014253485436890465
8.625;143.75;-0.017453623051702116
8.63;143.83333333333334;-0.01712636234886116
8.635;143.91666666666669;-0.0172350803056579
8.64;144.00000000000003;-0.016166303513571987
8.645;144.08333333333334;-0.01037699614318793
8.65;144.16666666666669;-0.00684782545135378
8.655;144.25;-0.005685409072814546
8.66;144.33333333333334;0.0017246035528015124
8.665000000000001;144.41666666666669;0.010532054036106245
8.67;144.5;0.013931178571368694
8.675;144.58333333333334;0.016703982295823903
8.68;144.66666666666669;0.016639750065228078
8.685;144.75000000000003;0.009530032566815363
8.69;144.83333333333334;0.004968663264233207
8.695;144.91666666666669;0.005248802340376211
8.700000000000001;145.00000000000003;0.00023101949641185547
8.705;145.08333333333334;-0.008398679492656616
8.71;145.16666666666669;-0.013782048942077421
8.715;145.25;-0.017353786391453883
8.72;145.33333333333334;-0.017079061526442015
